dataset,horizon,scenario,model,mae,rmse,mape,r2,n_train,n_test,train_start,train_end,test_start,test_end,features
consumption,1,with_lag1,random_forest,35650.53220868505,53134.9389998432,2.3507501398541475,0.9630564054190487,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
consumption,1,with_lag1,lasso,39217.536071130926,54454.23818340885,2.592665828317718,0.9611990686482405,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
consumption,1,with_lag1,ridge,39794.636746995006,54959.59317363762,2.6359759339934117,0.9604755536112328,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
consumption,1,with_lag1,gradient_boosting,44916.662454378165,63071.73077396716,2.964149716844326,0.9479466991535713,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
consumption,1,without_lag1,random_forest,51374.80737569408,76089.96684306509,3.351118658828485,0.924241116311776,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
consumption,1,calendar_seasonal,random_forest,56509.47527211809,84542.97829929314,3.67433735753119,0.9064736763493464,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_24,total_lag_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
consumption,1,without_lag1,gradient_boosting,59387.748998864525,86177.23267889797,3.871572380507375,0.9028229155946238,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
consumption,1,calendar_seasonal,gradient_boosting,59745.57507917474,87468.87102773809,3.885727552707391,0.8998880734243478,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_24,total_lag_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
consumption,1,without_lag1,lasso,66148.9822720316,91771.11241900409,4.362012660514424,0.8897976719459135,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
consumption,1,calendar_seasonal,lasso,66278.22207713434,92039.85836985904,4.382227354189248,0.8891512856575445,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_24,total_lag_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
consumption,1,without_lag1,ridge,68467.24016961029,93930.05226367887,4.506390799236806,0.8845516035776544,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
consumption,1,calendar_seasonal,ridge,69561.61223001358,95594.57449550407,4.582467093839792,0.8804236573903977,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,"total_lag_24,total_lag_168,total_daily_direct_h1,total_weekly_direct_h1,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
consumption,1,seasonal_baseline,seasonal_naive,102015.9111457207,153421.92462667092,6.822402121206979,0.6929344852933503,14014,3504,2024-01-01 00:00:00+00:00,2025-08-06 22:00:00+00:00,2025-08-06 23:00:00+00:00,2025-12-31 22:00:00+00:00,total_daily_direct_h1
consumption,6,with_lag1,random_forest,51435.786387489345,76913.84347681979,3.348236553358127,0.9226082186039176,14010,3503,2024-01-01 00:00:00+00:00,2025-08-06 18:00:00+00:00,2025-08-06 19:00:00+00:00,2025-12-31 17:00:00+00:00,"total_lag_1,total_lag_24,total_lag_168,total_rollmean_24,total_rollmean_168,total_daily_direct_h6,total_weekly_direct_h6,forecast_is_holiday,forecast_is_workday,forecast_is_weekend,forecast_dayofyear,forecast_weekofyear,forecast_quarter,forecast_is_month_start,forecast_is_month_end,forecast_sin_hour,forecast_cos_hour,forecast_sin_dayofyear,forecast_cos_dayofyear"
